,Validity,,,,,,,,,,,,,,,,,,,,,,,,,,,Validity+Soundness,,,,,,,,,,,,,,,,,,,,,,,,,,,Validity+Soundness+Coherency,,,,,,,,,,,,,,,,,,,,,,,,,,,Validity+Soundness+Coherency+Actionability
,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability
x,28.0,15.0,0.0,0.0,55.0, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0.2862639160925545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.5951499118165785,0.8666666666666667,0.20557510197908652,0.0,0.7862639160925545,28.0,15.0,0.0,0.0,55.0, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0.2862639160925545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625978835978836,0.8333333333333334,0.117564747359432,0.0,0.7862639160925545,28.0,15.0,0.0,0.0,55.0, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0.2862639160925545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5948148148148149,0.8492063492063492,0.10651865617026815,0.0,0.7862639160925545,28.0,15.0,0.0,0.0,55.0, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0.2862639160925545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6528042328042328,0.8435897435897436,0.14357678334888907,0.0,0.7862639160925545
cf_0,34.0,_,_,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,1.0,0.00632244467860906,1.0,1.0,0.6,0.5951499118165785,0.8666666666666667,0.20557510197908652,1.0,0.5080556358208822,34.0,_,_,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,1.0,0.00632244467860906,1.0,1.0,1.0,0.625978835978836,0.8333333333333334,0.117564747359432,1.0,0.5080556358208822,34.0,_,_,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,1.0,0.00632244467860906,1.0,1.0,1.0,0.5948148148148149,0.8492063492063492,0.10651865617026815,1.0,0.5080556358208822,34.0,_,_,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,1.0,0.00632244467860906,1.0,1.0,1.0,0.6528042328042328,0.8435897435897436,0.14357678334888907,1.0,0.5080556358208822

,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability
x,41.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Taiwan,0.24485015776748603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6726190476190477,0.7558558558558559,0.18450358665384847,0.0,0.744850157767486,41.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Taiwan,0.24485015776748603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21703703703703714,0.3951851851851852,0.01713900156339046,0.0,0.744850157767486,41.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Taiwan,0.24485015776748603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3294179894179893,0.34851851851851856,0.04564790523069205,0.0,0.744850157767486,41.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Taiwan,0.24485015776748603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44074074074074077,0.9037037037037037,0.04882044372602926,0.0,0.744850157767486
cf_0,_,_,12832.0,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,0.0,0.009870867939448625,1.0,1.0,1.0,0.6726190476190477,0.7558558558558559,0.18450358665384847,1.0,0.9572336303345081,_,_,5916.0,_,_,_,_,_,_,_, White,_, United-States,0.0,2.0,0.0,1.0,1.0,0.15839696858507046,3.0,1.0,1.0,0.21703703703703714,0.3951851851851852,0.01713900156339046,1.0,0.8203030155707738,_,_,6162.0,_,_,_,_,_,_,_, White,_, United-States,0.0,2.0,0.0,1.0,1.0,0.15858620124662787,3.0,1.0,1.0,0.3294179894179893,0.34851851851851856,0.04564790523069205,1.0,0.8203030155707738,_,_,12087.0,_,_,_,_,_,_,_,_,_,_,0.0,0.0,0.0,1.0,0.0,0.009297785285545163,1.0,1.0,1.0,0.44074074074074077,0.9037037037037037,0.04882044372602926,1.0,0.9572336303345081

,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability,age,education-num,capital-gain,capital-loss,hours-per-week,work-class,education,marital-status,occupation,relationship,race,sex,native-country,outcome,actionability,coherency,proximity,connectedness,distance,sparsity,i-Validity,s-Validity,f-Diversity,v-Diversity,d-Diversity,Class,Probability
x,53.0,9.0,0.0,0.0,50.0, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Germany,0.23806715765779124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6715079365079365,0.8025641025641026,0.17441289118177,0.0,0.7380671576577913,53.0,9.0,0.0,0.0,50.0, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Germany,0.23806715765779124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33666666666666656,0.452962962962963,0.0644043384609479,0.0,0.7380671576577913,53.0,9.0,0.0,0.0,50.0, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Germany,0.23806715765779124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2599999999999999,0.27407407407407414,0.009635740508426926,0.0,0.7380671576577913,53.0,9.0,0.0,0.0,50.0, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Germany,0.23806715765779124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6967989417989419,0.9279279279279279,0.1567978599430879,0.0,0.7380671576577913
